n,d,outlier_fraction,outlier_mag,trial,s,true_cv,true_M,cv_hat,pilot_cv,M_hat,cv_rel_error,M_rel_error
1000,3,0.1,2.0,1,100,0.581167313005821,6.085439413528287,0.5037267673627901,0.5037267673627901,4.003248295226658,0.13325000203900883,0.3421595347203353
1000,3,0.1,2.0,2,10,0.6984683097008569,7.200833170425255,0.5811128209592172,0.5811128209592172,1.6582643252521247,0.168018344013204,0.7697121588564461
1000,3,0.1,2.0,2,30,0.6984683097008569,7.200833170425255,0.7131006305885091,0.7131006305885091,4.069121732681444,0.02094915500736032,0.43490959499050064
1000,3,0.1,2.0,2,50,0.6984683097008569,7.200833170425255,0.47310833200277536,0.47310833200277536,2.818870428370434,0.322648822527968,0.608535517813703
1000,3,0.1,2.0,2,100,0.6984683097008569,7.200833170425255,0.6808237503068347,0.6808237503068347,4.476219844088143,0.025261789474141063,0.3783747327361295
1000,3,0.1,5.0,0,10,1.3537758517722411,6.291632634044208,1.530560585789139,1.530560585789139,5.256351400931199,0.13058641412865146,0.16454890063209862
1000,3,0.1,5.0,0,30,1.3537758517722411,6.291632634044208,1.3715569718037113,1.3715569718037113,4.680670818060262,0.013134463883509745,0.2560482961555931
1000,3,0.1,5.0,0,50,1.3537758517722411,6.291632634044208,1.3184740639806656,1.3184740639806656,4.01863407278405,0.026076538258059223,0.36127324868920285
1000,3,0.1,5.0,0,100,1.3537758517722411,6.291632634044208,1.3659255988225956,1.3659255988225956,5.772616373540622,0.00897471101619155,0.08249309689430598
1000,3,0.1,5.0,1,10,1.367532997551312,6.235878482522877,1.5154801979891517,1.5154801979891517,5.1970044477795625,0.10818547026123113,0.16659626027911512
1000,3,0.1,5.0,1,30,1.367532997551312,6.235878482522877,1.3634313326718892,1.3634313326718892,5.019547527380772,0.002999316935508798,0.19505366542197414
1000,3,0.1,5.0,1,50,1.367532997551312,6.235878482522877,1.411533222332406,1.411533222332406,5.708852066076159,0.03217489074112308,0.084515183854817
1000,3,0.1,5.0,1,100,1.367532997551312,6.235878482522877,1.3390627326965934,1.3390627326965934,6.913907490766236,0.020818704123189063,0.10873031123740648
1000,3,0.1,5.0,2,10,1.3274574831627268,6.042607423381932,1.2978306125700927,1.2978306125700927,3.815102829781926,0.02231850810170341,0.36863301510878466
1000,3,0.1,5.0,2,30,1.3274574831627268,6.042607423381932,1.3233457297241074,1.3233457297241074,6.5970453066258985,0.0030974652602982307,0.09175474168627334
1000,3,0.1,5.0,2,50,1.3274574831627268,6.042607423381932,1.3536025456224343,1.3536025456224343,5.423961681734434,0.019695593110384,0.10238059471704912
1000,3,0.1,5.0,2,100,1.3274574831627268,6.042607423381932,1.4267521244069363,1.4267521244069363,6.299682246422176,0.07480061885495239,0.04254369099761314
1000,3,0.1,10.0,0,10,2.1745485439283283,8.206958182334139,2.188617895130275,2.188617895130275,7.205020408677404,0.006470010173481996,0.1220839379702766
1000,3,0.1,10.0,0,30,2.1745485439283283,8.206958182334139,2.0075973657624853,2.0075973657624853,6.256217591742828,0.07677509827591397,0.23769349706086854
1000,3,0.1,10.0,0,50,2.1745485439283283,8.206958182334139,2.4136854848419076,2.4136854848419076,10.813421671543772,0.1099708450203543,0.3175919057099824
